metric	value
BLEU	35.3892
chrF	60.9821
LongYAAL (CU)	2852.6502
LongAL (CU)	2917.6799
LongLAAL (CU)	3047.9965
LongAP (CU)	1.1277
LongDAL (CU)	4075.3824
LongYAAL (CA)	48760.3117
LongAL (CA)	67570.1634
LongLAAL (CA)	67573.5874
LongAP (CA)	20.6356
LongDAL (CA)	69409.4049
