LAAL	AL	AP	DAL
17876.098	17876.098	0.424	15790.603
30668.94	30668.94	0.451	17026.434
65886.649	65886.649	0.413	43126.594
8438.763	8438.763	0.516	16165.323
29087.893	29087.893	0.432	18125.638
12295.867	12295.867	0.508	21074.567
664.781	664.781	0.497	18250.0
53849.187	53849.187	0.435	34325.792
2679.441	600.164	0.514	15510.389
7123.583	4758.223	0.526	19732.074
29232.297	29232.297	0.46	27482.447
66289.157	66289.157	0.411	33109.636
49689.779	49689.779	0.372	22076.964
8113.175	8113.175	0.487	16546.292
1910.589	1910.589	0.462	11000.0
52502.945	52502.945	0.435	44388.264
17674.831	17674.831	0.497	24185.293
18059.619	18059.619	0.491	34138.384
22173.237	22173.237	0.412	14266.97
10649.585	8653.498	0.541	24342.982
4244.279	3493.665	0.516	16569.373
