LAAL	AL	AP	DAL
15149.866	15149.866	0.451	7593.998
20319.802	20319.802	0.453	5302.122
13604.151	13604.151	0.48	7220.135
11713.777	11713.777	0.511	12053.461
8929.846	8929.846	0.468	6100.045
16849.871	16849.871	0.484	11617.256
18070.975	18070.975	0.463	8909.855
1352.325	1352.325	0.493	6997.434
10944.944	10944.944	0.485	7970.718
14172.037	14172.037	0.483	9363.792
18004.251	18004.251	0.473	10094.749
18051.653	18051.653	0.473	9014.132
23738.458	23738.458	0.44	9098.938
9265.547	9265.547	0.463	4898.553
-2805.835	-2805.835	0.491	4095.326
11741.321	11741.321	0.512	14102.692
9131.603	9131.603	0.499	11264.675
23678.985	23678.985	0.472	17003.101
7518.677	7518.677	0.461	4759.145
24566.194	24566.194	0.478	15061.366
7708.102	7708.102	0.5	10284.263
