LAAL	AL	AP	DAL
1220.072	1220.072	0.475	8522.484
9797.738	9797.738	0.495	9535.723
1830.69	334.314	0.509	6353.899
7090.867	2414.164	0.54	12762.104
-1.792	-842.431	0.502	8473.498
7798.888	7798.888	0.491	12955.503
977.295	-6526.868	0.523	7926.63
342.944	-2675.451	0.509	7300.231
187.059	-274.996	0.501	13537.147
4533.337	-6347.949	0.543	9650.382
3438.791	3438.791	0.508	10017.941
29169.235	29169.235	0.464	19186.161
29505.088	29505.088	0.411	12174.668
312.179	-4427.069	0.516	6299.885
-5238.339	-13421.558	0.507	4750.0
5382.224	1319.654	0.527	14379.963
5511.517	5511.517	0.498	8518.341
19763.553	19763.553	0.429	11799.408
739.163	739.163	0.483	6253.625
8038.572	7131.268	0.529	13581.782
3763.363	-2429.468	0.533	11050.289
