metric	value
BLEU	36.2879
chrF	61.7457
COMET	0.7189
LongYAAL (CU)	3238.4305
LongAL (CU)	3384.8990
LongLAAL (CU)	3487.6844
LongAP (CU)	1.6765
LongDAL (CU)	4636.3261
LongYAAL (CA)	45544.7757
LongAL (CA)	61787.7486
LongLAAL (CA)	61791.7066
LongAP (CA)	20.9381
LongDAL (CA)	63525.4163
