LAAL	AL	AP	DAL
13138.46	13138.46	0.433	12836.725
13602.912	13602.912	0.487	13968.212
15593.268	15593.268	0.515	22189.739
7251.767	2129.618	0.543	13745.737
6814.163	6814.163	0.457	12412.971
11680.906	11680.906	0.473	16853.52
3005.928	-7618.198	0.538	10893.932
2388.561	1310.577	0.509	12175.536
2015.824	2015.824	0.501	14109.71
4915.785	-2417.083	0.534	13835.956
9435.994	9435.994	0.504	16307.747
40269.544	40269.544	0.445	25618.068
72243.338	72243.338	0.341	25821.879
3705.998	3705.998	0.49	14024.806
-7729.582	-7729.582	0.478	6749.303
14950.057	14950.057	0.487	19835.173
6736.198	6736.198	0.49	11080.676
29936.825	29936.825	0.437	22340.645
166.583	166.583	0.481	8750.0
9671.903	8583.137	0.535	18889.693
6387.881	2071.729	0.536	18003.676
