LAAL	AL	AP	DAL
-73.904	-73.904	0.479	6017.681
32428.974	32428.974	0.433	11866.357
7307.738	7307.738	0.495	7715.639
12282.718	12282.718	0.516	14242.307
7188.636	7188.636	0.461	4740.912
8602.167	8602.167	0.469	13313.48
6305.869	6305.869	0.49	7917.456
2284.129	2284.129	0.473	5917.926
9378.718	9378.718	0.486	12558.087
12871.254	12871.254	0.478	9648.364
11560.105	11560.105	0.495	10752.457
17229.256	17229.256	0.452	6011.473
3415.853	1075.43	0.516	8850.433
26077.878	26077.878	0.342	8011.969
1949.242	1949.242	0.411	4672.665
7680.462	2714.964	0.537	13901.39
8260.673	8260.673	0.472	10390.975
33265.096	33265.096	0.45	17245.437
4912.178	4912.178	0.455	2878.973
11693.074	11693.074	0.507	14811.358
22088.317	22088.317	0.451	13273.466
