metric	value
BLEU	37.7852
chrF	64.6213
COMET	0.7758
LongYAAL (CU)	3791.2066
LongAL (CU)	3759.6427
LongLAAL (CU)	3850.1879
LongAP (CU)	1.3739
LongDAL (CU)	5076.2611
LongYAAL (CA)	64619.5745
LongAL (CA)	102505.2393
LongLAAL (CA)	102508.7084
LongAP (CA)	37.7914
LongDAL (CA)	104519.9957
