metric	value
BLEU	24.5367
chrF	51.6851
COMET	0.5654
LongYAAL (CU)	2046.1209
LongAL (CU)	1756.0700
LongLAAL (CU)	1995.0577
LongAP (CU)	0.8863
LongDAL (CU)	2814.0188
LongYAAL (CA)	77597.4965
LongAL (CA)	135940.6505
LongLAAL (CA)	135942.5438
LongAP (CA)	42.8243
LongDAL (CA)	138435.4239
