LAAL	AL	AP	DAL
13462.581	13462.581	0.445	10822.877
13684.439	13684.439	0.475	7442.732
-8796.157	-25899.206	0.52	12227.883
9232.324	9232.324	0.507	14582.434
11418.667	11418.667	0.458	5702.443
3130.725	-3348.153	0.527	13345.713
7089.488	7089.488	0.485	7267.11
25649.652	25649.652	0.403	10391.018
2496.016	2264.989	0.508	8180.601
15416.486	15416.486	0.467	8839.35
13238.273	13238.273	0.483	9711.177
17242.897	17242.897	0.486	10491.389
17932.058	17932.058	0.485	12634.03
-9915.733	-40072.348	0.561	15925.793
-9186.48	-20857.192	0.505	3647.16
9809.576	9809.576	0.521	15148.297
8668.888	8668.888	0.469	5349.579
22646.29	22646.29	0.489	19463.401
15546.657	15546.657	0.409	1995.862
20602.771	20602.771	0.52	20260.172
1488.703	1488.703	0.488	6444.095
