LAAL	AL	AP	DAL
2380.0	2380.0	0.778	2380.0
1836.0	1777.5	1.192	1857.6
2498.438	2498.438	0.812	3420.117
1930.0	1930.0	1.0	1930.0
1322.182	556.5	0.684	2469.979
5926.957	5926.957	0.529	6708.089
1480.0	1480.0	1.4	1480.0
1540.714	1449.351	0.858	1905.0
3545.67	3545.67	0.655	4200.0
3950.0	3950.0	0.846	3950.0
4291.164	4023.066	0.729	6595.285
3394.278	-2075.87	0.824	6798.324
2214.286	1780.952	1.574	2544.444
3266.75	3266.75	0.748	4659.093
930.0	930.0	1.0	930.0
947.222	-3855.949	0.724	4157.304
2962.308	2962.308	0.718	3742.109
1260.0	1260.0	1.0	1260.0
6041.574	4659.32	0.676	7417.728
2080.0	2080.0	0.8	2080.0
1340.0	1340.0	0.833	1340.0
3967.357	3967.357	0.657	5160.078
1400.0	1400.0	0.6	1400.0
5140.0	5140.0	0.8	5140.0
2917.5	2917.5	0.741	3600.0
4082.099	3203.929	0.645	6257.975
4146.333	4146.333	0.73	5462.911
3793.829	1403.163	0.89	5716.998
4546.122	4546.122	0.586	5305.731
1290.0	1290.0	1.0	1290.0
1580.0	1580.0	1.0	1580.0
1795.312	1795.312	0.636	1848.611
3816.538	3562.292	0.935	5400.0
1090.0	1090.0	0.571	1090.0
3921.791	-2842.013	1.443	6779.354
2855.863	2530.146	0.744	4376.869
5527.855	3694.031	0.975	6788.305
3721.071	3668.182	1.222	4853.418
3022.222	2810.667	0.846	4073.251
3108.214	3108.214	0.899	3686.627
2478.0	2478.0	0.796	3485.217
1110.0	1110.0	1.0	1110.0
890.0	890.0	0.571	890.0
2953.534	2953.534	0.604	3749.136
5438.357	5438.357	0.551	5558.73
3268.153	2706.591	0.829	3988.613
1720.833	1676.19	1.063	1856.25
2433.333	2252.0	0.83	3081.481
3213.354	2843.0	0.782	4636.973
3710.0	3710.0	1.111	3710.0
2299.266	2121.09	0.618	5400.0
3858.762	2773.709	1.149	5746.624
1987.5	1669.565	0.798	3937.5
2725.649	438.831	1.058	4773.076
2282.812	932.813	0.735	4200.0
3358.75	3358.75	0.704	4200.0
2010.064	1570.833	0.936	3272.071
6132.71	4413.043	1.069	9000.0
3361.905	3361.905	0.66	4315.556
2130.921	1882.057	0.803	3046.181
4398.445	3385.547	0.746	6641.685
5029.333	5029.333	0.838	7513.469
4478.194	2956.667	0.92	6419.946
2178.151	2082.857	1.0	2542.734
2842.544	2211.905	1.148	3279.224
2498.5	1761.098	1.146	3054.722
2997.0	2908.471	0.91	3884.63
3276.406	2951.853	0.884	4745.01
1630.0	1630.0	1.0	1630.0
2248.667	2248.667	0.673	2400.0
3813.977	2945.662	1.088	4753.76
3119.333	3119.333	0.858	3187.456
4110.0	4110.0	1.2	4110.0
