metric	value
BLEU	37.4856
chrF	64.2869
LongYAAL (CU)	3238.7225
LongAL (CU)	3083.8643
LongLAAL (CU)	3202.6866
LongAP (CU)	1.2654
LongDAL (CU)	4420.3595
LongYAAL (CA)	104986.8623
LongAL (CA)	260548.8622
LongLAAL (CA)	260551.2902
LongAP (CA)	91.5591
LongDAL (CA)	265350.3923
