metric	value
BLEU	39.6634
chrF	65.3803
COMET	0.7836
LongYAAL (CU)	5386.5067
LongAL (CU)	5745.9521
LongLAAL (CU)	5803.1232
LongAP (CU)	1.7417
LongDAL (CU)	7051.8752
LongYAAL (CA)	53687.3877
LongAL (CA)	76466.8554
LongLAAL (CA)	76468.7365
LongAP (CA)	25.1460
LongDAL (CA)	78249.3327
