LAAL	AL	AP	DAL
3652.565	3652.565	0.489	9397.568
9664.201	9664.201	0.506	16687.298
5577.353	-813.67	0.533	13383.338
10136.317	8802.24	0.539	22375.585
9688.56	9688.56	0.508	14560.775
6663.857	4117.279	0.526	26078.558
3259.317	-4396.623	0.53	12930.349
4579.223	4579.223	0.5	10053.66
2804.798	2804.798	0.468	9338.808
14867.935	14867.935	0.499	17582.069
7328.347	6961.233	0.521	14914.948
5593.396	4005.321	0.517	13820.145
4308.936	1788.467	0.519	15528.094
18374.506	18374.506	0.486	21080.418
-179.441	-8847.132	0.523	11383.49
9002.071	4488.043	0.54	15752.508
17190.918	17190.918	0.483	16731.654
7270.673	7270.673	0.515	17890.485
4431.562	4431.562	0.471	6918.819
10788.886	7892.283	0.545	22553.31
11145.639	11145.639	0.506	17201.356
