LAAL	AL	AP	DAL
918.458	918.458	0.491	7011.843
8809.635	8809.635	0.503	13279.239
3549.2	-4972.614	0.534	8903.809
8208.992	5985.47	0.535	16603.248
8458.997	8458.997	0.505	12196.352
5715.717	5323.952	0.517	22546.17
4820.521	-5934.101	0.544	11117.534
5747.572	5747.572	0.495	10276.416
4239.122	2239.818	0.519	10379.581
6927.887	1543.099	0.534	16516.712
5461.855	5094.741	0.516	11852.889
4539.139	2230.996	0.517	10640.514
3223.847	-196.879	0.519	9276.929
11331.403	11331.403	0.494	18417.261
-748.115	-11149.727	0.526	9579.567
8921.963	1698.939	0.548	16200.36
9480.414	9480.414	0.5	14559.786
6784.496	6784.496	0.515	14918.635
2898.627	2898.627	0.48	8440.577
8810.787	4832.513	0.542	16352.255
8976.429	8976.429	0.505	15584.326
