metric	value
BLEU	34.4942
chrF	62.7180
COMET	0.7358
LongYAAL (CU)	2448.8114
LongAL (CU)	2227.5955
LongLAAL (CU)	2371.6539
LongAP (CU)	1.1280
LongDAL (CU)	3421.8489
LongYAAL (CA)	103563.6706
LongAL (CA)	258905.7578
LongLAAL (CA)	258908.9540
LongAP (CA)	93.5795
LongDAL (CA)	263520.3443
