LAAL	AL	AP	DAL
1773.333	1773.333	0.739	2100.0
1686.0	1627.5	1.16	1797.6
1948.643	1812.981	0.794	2756.055
1930.0	1930.0	1.0	1930.0
887.359	81.378	0.642	2163.471
3829.123	3829.123	0.571	5272.406
1480.0	1480.0	1.4	1480.0
983.571	892.208	0.769	1605.0
2420.707	2420.707	0.609	2934.808
1594.406	1594.406	0.667	2400.0
2563.239	2197.65	0.647	4227.13
2938.3	-2848.958	0.808	5189.841
1506.25	1054.861	1.301	1800.0
1593.882	1593.882	0.607	1978.62
930.0	930.0	1.0	930.0
447.222	-4355.949	0.704	3713.061
1234.837	1017.059	0.652	2284.907
1010.0	1010.0	0.984	1200.0
5690.869	3481.472	0.689	9431.497
1732.0	1732.0	0.773	1800.0
1023.333	1023.333	0.799	1200.0
4522.878	4522.878	0.681	5227.777
1400.0	1400.0	0.6	1400.0
2767.111	2767.111	0.75	3068.402
2127.974	2044.444	0.843	3003.737
3855.781	3855.781	0.593	6867.236
3156.333	3156.333	0.706	4848.472
3175.225	784.558	0.848	5340.78
3390.152	3390.152	0.652	5487.824
1290.0	1290.0	1.0	1290.0
1580.0	1580.0	1.0	1580.0
1307.812	1307.812	0.561	1293.403
1447.024	1447.024	0.641	2144.444
1090.0	1090.0	0.571	1090.0
3842.991	-2701.438	1.454	5448.122
1865.425	1573.403	0.67	2835.277
4363.333	1911.626	0.95	6322.033
2418.571	1995.455	1.053	2993.112
2331.818	1953.818	0.814	3900.0
1854.857	1854.857	0.784	2523.728
2079.091	2079.091	0.643	2509.8
1110.0	1110.0	0.833	1110.0
890.0	890.0	0.571	890.0
2234.631	2234.631	0.636	3455.458
4932.475	4932.475	0.528	5030.159
2593.907	2055.635	0.756	3555.213
1123.81	1123.81	0.691	1444.444
3813.783	1457.419	1.955	4902.744
1141.497	372.242	0.653	1993.304
3710.0	3710.0	0.889	3710.0
1605.576	1605.576	0.567	5400.0
1844.017	596.206	0.905	2693.76
1380.0	1023.913	0.668	2234.4
2379.221	92.403	1.019	4510.376
2074.935	1092.815	0.684	3256.531
2222.607	2222.607	0.597	2547.656
1340.879	1101.299	0.842	2347.87
3656.474	1702.308	0.913	4605.678
2837.5	2837.5	0.629	4000.0
1119.384	815.217	0.685	2100.0
3163.682	2350.851	0.676	4785.331
2961.667	2382.857	0.811	4364.028
4314.861	2793.333	0.909	7012.191
1636.364	1636.364	0.807	1930.0
2117.544	1486.905	1.046	2429.917
1694.244	752.045	0.996	2335.841
2697.0	2608.471	0.881	3567.963
4241.318	4135.956	0.91	7200.0
1630.0	1630.0	1.0	1630.0
1628.0	1628.0	0.594	1575.51
3630.676	2501.111	1.129	5100.0
1826.889	1826.889	0.876	2128.889
1933.864	1591.364	1.076	3600.0
2271.981	2271.981	0.619	2818.821
918.889	918.889	0.672	1200.0
3571.868	2815.064	0.758	4795.791
3558.12	2607.524	0.971	5337.119
2602.0	2602.0	0.74	3050.918
2697.055	2697.055	0.726	4269.312
2580.0	2580.0	0.721	2917.988
1050.0	1050.0	1.0	1050.0
892.0	892.0	0.87	1114.4
2461.5	2461.5	0.733	3499.527
3301.49	3115.167	0.939	5050.242
1005.0	1005.0	0.992	1200.0
2752.638	2247.321	0.797	4180.239
2845.048	2636.5	0.811	4500.0
2524.603	2188.012	0.844	4604.082
4572.8	4572.8	0.702	6319.616
2054.057	2054.057	0.667	3218.992
2945.115	2945.115	0.536	5340.096
3193.759	3193.759	0.772	3736.787
2767.714	44.444	0.803	5482.65
2018.71	1074.265	0.788	5268.75
900.0	900.0	1.0	900.0
3218.216	1155.704	0.946	5400.0
1130.0	1130.0	0.6	1130.0
3228.909	3228.909	0.579	4220.192
4792.04	4792.04	0.646	7930.953
2624.99	2224.545	0.661	4193.037
3539.429	3046.875	0.892	4605.822
2781.961	2781.961	0.502	2951.967
2138.107	2002.139	0.734	2756.144
1259.16	197.898	0.588	3207.895
2427.495	365.835	0.776	3695.999
2713.558	-6868.155	0.877	5756.738
1490.0	1490.0	0.667	1490.0
1255.0	1255.0	0.993	1500.0
2357.649	1578.261	0.796	3610.974
1386.667	1320.0	1.0	1551.852
1829.444	1473.167	0.895	2640.278
1959.681	1959.681	0.596	2471.461
1443.095	1443.095	0.449	2100.0
2183.813	1210.208	0.745	3543.106
2364.424	2202.26	0.693	3127.447
2470.921	1788.111	0.803	3229.396
3393.363	3393.363	0.591	4302.011
4569.048	4438.429	0.946	5700.0
2119.534	1322.556	0.845	2798.033
4057.512	2793.421	1.258	6764.463
2620.287	1055.625	0.915	4018.276
2866.732	1616.098	0.64	5069.422
4054.334	1460.873	0.742	5726.233
2313.125	1366.01	1.148	3616.296
1733.57	1541.815	0.594	3375.041
1584.26	438.727	0.715	3180.229
2910.117	2910.117	0.386	2636.033
2360.311	2055.111	1.011	4256.16
1140.0	1140.0	0.75	1140.0
1901.818	1901.818	0.896	2400.0
2329.444	2329.444	0.601	3300.0
2371.569	2371.569	0.678	4817.675
3645.0	3645.0	0.48	3421.008
2959.626	2439.314	0.675	6300.0
2318.623	2318.623	0.594	2465.625
2017.5	2017.5	0.753	2239.259
2228.995	1888.632	0.793	2933.388
4730.952	4730.952	0.843	6926.036
4561.31	3986.478	0.702	5839.413
1293.187	-241.703	0.701	2691.302
3406.667	3406.667	0.615	4033.9
1006.667	1006.667	0.989	1200.0
955.0	904.0	1.075	987.5
2466.518	2292.308	0.741	3591.219
3539.069	3539.069	0.734	5241.021
2001.571	1263.571	0.764	3178.089
4200.508	4200.508	0.742	6300.0
2183.2	-212.078	0.805	3716.733
1400.0	1400.0	1.0	1400.0
1280.0	1280.0	1.0	1280.0
2686.25	2686.25	0.779	3298.107
1160.0	1160.0	0.8	1160.0
2472.805	2472.805	0.592	3913.722
1801.5	1732.115	1.0	3186.4
2917.088	2176.948	0.838	4412.702
1203.092	-22247.305	1.749	4174.343
1010.0	1010.0	1.0	1010.0
6118.657	5511.336	0.875	7243.02
