metric	value
BLEU	39.3682
chrF	65.1598
COMET	0.7834
LongYAAL (CU)	4994.1475
LongAL (CU)	5233.6156
LongLAAL (CU)	5300.4516
LongAP (CU)	1.6653
LongDAL (CU)	6527.8753
LongYAAL (CA)	53927.9140
LongAL (CA)	77335.5715
LongLAAL (CA)	77337.8240
LongAP (CA)	25.4997
LongDAL (CA)	79023.6729
