metric	value
BLEU	39.8310
chrF	65.3937
COMET	0.7850
LongYAAL (CU)	5746.0255
LongAL (CU)	6356.3493
LongLAAL (CU)	6407.7943
LongAP (CU)	1.7278
LongDAL (CU)	7576.5653
LongYAAL (CA)	58659.4822
LongAL (CA)	87090.0063
LongLAAL (CA)	87091.4677
LongAP (CA)	27.8148
LongDAL (CA)	88804.3164
